AffymetrixID,AGI,L1P(-)normalized,L1P(-)rawvalue,L1P(-)flags,L2P(+)normalized,L2P(+)rawvalue,L2P(+)flags,L3P(-)normalized,L3P(-)rawvalue,L3P(-)flags,L4P(+)normalized,L4P(+)rawvalue,L4P(+)flagsvalue,L5P(-)normalized,L5P(-)rawvalue,L5P(-)flags,L6P(+)normalized,L6P(+)rawvalue,L6P(+)flags,meanRatioP(-)/P(+)
249747_at,At5g24600,2.03,142.2,P,0.339,18.3,A,1.567,58.6,P,0.433,20,P,1.631,173.3,P,0.414,50,P,4.51558392029412
250493_at,At5g09800,1.508,94.9,P,0.464,22.5,A,1.604,53.9,P,0.492,20.4,A,1.627,155.3,P,0.235,25.5,P,4.47785561898172
246302_at,At3g51860,1.893,393.5,P,0.28,44.9,P,1.338,148.5,P,0.477,65.3,P,2.52,794.4,P,0.662,237.2,P,4.45746408597831
247463_at,At5g62210,1.353,221.1,P,0.334,42.1,M,2.001,174.5,P,0.647,69.6,P,2.686,665.7,P,0.432,121.7,P,4.45374216647705
254889_at,At4g11650,2.524,1329.400,P,0.742,301.2,P,1.258,353.8,P,0.346,120,P,1.375,1098.7,P,0.22,199.7,P,4.42915180032096
267496_at,At2g30550,2.375,199.9,P,0.596,38.7,P,1.284,57.7,P,0.424,23.5,P,4.458,569.1,P,0.716,103.9,P,4.41315273296391
253386_at,At4g33030,1.512,2947.800,P,0.317,476.2,P,2.024,2107.2,P,0.488,626.9,P,1.937,5727.4,P,0.45,1514.6,P,4.40723383879303
262118_at,At1g02850,1.588,1111.1,P,0.354,190.9,P,1.569,586.4,P,0.43,198.3,P,2.185,2319.2,P,0.431,519.7,P,4.40143949465416
261240_at,At1g32940,1.962,120.3,P,0.427,20.2,A,1.182,38.7,P,0.245,9.9,A,3.082,286.7,P,0.818,86.5,A,4.39568791082107
252414_at,At3g47420,1.547,1547.900,P,0.296,228.3,P,1.686,900.7,P,0.388,255.8,P,1.636,2482.600,P,0.453,781.6,P,4.39439706826373
264148_at,At1g02220,1.706,33.4,P,0.51,7.7,A,1.349,14.1,P,0.651,8.4,A,3.657,108.6,P,0.471,15.9,A,4.39387528999683
249377_at,At5g40690,2.107,513.6,P,0.416,78.2,P,1.584,206.1,P,0.407,65.3,P,1.586,586.5,P,0.384,161.3,P,4.36233469045969
259481_at,At1g18970,3.397,226.1,P,0.68,34.9,P,1.32,46.9,P,0.413,18.1,M,1.438,145.2,P,0.295,33.8,P,4.35543013815696
261956_at,At1g64590,3.007,287.1,P,0.664,48.9,P,1.336,68.1,P,0.396,24.9,P,2.308,334.3,P,0.449,73.9,P,4.34755454519254
261021_at,At1g26380,2.033,93.6,P,0.735,26.1,P,1.265,31.1,P,0.461,14,P,3.486,243.5,P,0.466,37,P,4.33023593233172
251060_at,At5g01820,1.787,278.3,P,0.266,31.9,P,1.398,116.2,P,0.602,61.8,P,1.608,379.8,P,0.41,110,P,4.32075182283559
245361_at,At4g17790,1.892,621.7,P,0.411,104.1,P,1.519,266.4,P,0.481,104.2,P,2.227,1109.7,P,0.429,243.3,P,4.31751755839347
251928_at,At3g53980,1.911,190.2,P,0.279,21.4,A,1.361,72.3,P,0.639,41.9,A,2.284,344.7,P,0.591,101.5,A,4.28132967641313
260522_x_at,At2g41730,2.039,312.5,P,0.522,61.7,P,1.478,120.9,P,0.446,45,P,2.765,642.6,P,0.492,130.1,P,4.27998343755924
246045_at,At5g19430,1.824,430.7,P,0.483,87.9,P,1.509,190.3,P,0.491,76.4,P,1.87,669.9,P,0.317,129.2,P,4.24959029962967
262248_at,At1g48370,2.298,295.2,P,0.505,50,P,1.406,96.4,P,0.594,50.3,P,3.38,658.6,P,0.586,129.8,P,4.22847216841517
265744_at,At2g06660,0.726,8.2,P,0.149,1.3,A,1.244,7.5,P,0.511,3.8,A,1.127,19.3,P,0.211,4.1,A,4.21605257300779
264809_at,At1g08830,1.903,4003.600,P,0.436,707.8,P,2.256,2533.9,P,0.474,656.6,P,1.526,4870.100,P,0.436,1581.5,P,4.20805752332288
256340_at,At1g72070,1.526,67.4,P,0.528,18,A,1.472,34.7,P,0.443,12.9,A,2.26,151.4,P,0.354,27,A,4.19904380105914
262517_at,At1g17180,1.872,99.4,P,0.596,24.4,P,1.404,39.8,P,0.426,14.9,P,1.937,156,P,0.318,29.1,P,4.17596973791874
259403_at,At1g17745,1.773,1655.800,P,0.305,219.5,P,1.41,703.1,P,0.59,362.7,P,2.281,3231,P,0.53,853,P,4.16890628249287
254153_at,At4g24450,1.897,605.3,P,0.544,133.9,P,1.456,248,P,0.469,98.6,P,2.464,1192.400,P,0.419,230.8,P,4.15742607421268
249089_at,At5g44240,1.843,532.2,P,0.485,108,P,1.515,233.5,P,0.455,86.6,P,1.857,813.4,P,0.348,173.1,P,4.15529240874068
261285_at,At1g35720,1.491,3858.7,P,0.368,735,P,2.207,3048.7,P,0.509,867,P,1.803,7075.9,P,0.445,1987.5,P,4.14642289225467
265260_at,At2g43000,1.73,48.8,P,0.625,13.6,M,1.375,20.7,P,0.447,8.3,A,2.975,127.3,P,0.452,22,P,4.14197368230023
247918_at,At5g57610,1.738,248,P,0.345,37.9,P,1.435,109.3,P,0.565,53.1,P,2.005,433.8,P,0.414,101.8,P,4.14016644578399
247487_at,At5g62150,1.735,182.8,P,0.485,39.4,P,1.515,85.2,P,0.48,33.3,P,1.798,287.3,P,0.317,57.6,P,4.1351646259499
265025_at,At1g24575,1.519,465.9,P,0.359,84.8,P,1.773,290.3,P,0.41,82.9,P,1.844,857.7,P,0.481,254.1,P,4.12975594972334
257382_at,At2g40750,1.734,441.8,P,0.337,66.3,P,1.376,187.2,P,0.624,104.8,P,1.381,534,P,0.281,123.7,P,4.08837318197699
254290_at,At4g23000,2.122,117.4,P,0.408,17.4,P,1.449,42.8,P,0.551,20.1,P,2.153,180.7,P,0.487,46.5,P,4.08389633867139
251109_at,At5g01600,1.405,4375.700,P,0.595,1428.400,P,1.525,2534.800,P,0.298,610.9,P,1.438,6792.9,P,0.303,1626.1,P,4.0748895965678
256595_x_at,At3g28530,1.492,111.8,P,0.248,14.3,P,1.38,55.2,P,0.62,30.6,P,1.475,167.6,P,0.372,48,P,4.06899641577061
263168_at,At1g03020,1.486,63.8,P,0.556,18.4,A,2.926,67.1,P,0.512,14.5,A,1.444,94.1,P,0.379,28.1,A,4.06584400190929
264887_at,At1g23120,1.34,191.8,P,0.66,72.9,P,1.603,122.5,P,0.558,52.6,P,2.698,586,P,0.37,91.3,P,4.06498492627525
267165_at,At2g37710,1.785,485.6,P,0.372,78,P,1.447,210.2,P,0.529,94.8,P,2.572,1061.5,P,0.553,259.5,P,4.06157712942184
250213_at,At5g13820,1.582,98.8,P,0.251,12.1,A,1.341,44.7,P,0.479,19.7,A,1.998,189.3,P,0.659,71,A,4.04474592414233
254796_at,At4g13000,1.408,74.3,P,0.474,19.3,A,1.969,55.5,P,0.592,20.6,M,2.328,186.4,P,0.399,36.3,M,4.04368803823334
